Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
77747 97566.31 46.96 0.02 -0.91 -0.40 1.31 2.28 -0.45
77903 97568.70 46.96 0.02 -0.91 -0.40 1.26 2.63 -0.59
78059 97568.14 46.97 0.02 -0.91 -0.41 1.65 2.57 -0.31
78214 97569.51 46.97 0.01 -0.91 -0.40 1.48 2.40 -0.38
78372 97566.60 46.97 0.02 -0.91 -0.40 1.11 2.23 -0.89
78528 97566.71 46.97 0.02 -0.91 -0.41 1.43 2.60 -0.46
78683 97566.62 46.97 0.01 -0.91 -0.40 1.47 2.35 -0.45
78839 97569.76 46.97 0.02 -0.91 -0.40 1.22 2.33 -0.54
78995 97568.50 46.97 0.02 -0.91 -0.40 1.33 2.22 -0.26
79151 97565.66 46.97 0.02 -0.91 -0.41 1.21 2.32 -0.80
79307 97564.28 46.97 0.02 -0.91 -0.40 1.55 2.46 -0.67
79463 97566.85 46.97 0.02 -0.91 -0.40 1.12 2.43 -0.25
79620 97565.70 46.98 0.02 -0.91 -0.40 1.55 2.39 -0.60
79777 97567.81 46.98 0.02 -0.91 -0.40 1.31 2.30 -0.66
79933 97566.11 46.98 0.02 -0.91 -0.40 1.49 2.60 -0.42
80089 97568.52 46.98 0.02 -0.91 -0.40 1.24 2.24 -0.57
80245 97565.11 46.98 0.02 -0.91 -0.40 1.11 2.36 -0.66
80401 97568.98 46.99 0.02 -0.91 -0.40 1.41 2.47 -0.57
80557 97566.76 46.99 0.02 -0.91 -0.40 1.46 2.49 -0.68
80713 97569.15 46.99 0.02 -0.91 -0.40 1.33 2.22 -0.69
80869 97568.98 46.99 0.02 -0.91 -0.40 1.33 2.41 -0.53
81026 97568.20 46.99 0.02 -0.91 -0.40 1.26 2.37 -0.41
81183 97568.17 46.99 0.02 -0.91 -0.40 1.38 2.35 -0.48
81339 97566.03 46.99 0.02 -0.91 -0.41 1.29 2.30 -0.76
81495 97567.63 47.00 0.02 -0.91 -0.40 1.30 2.44 -0.50
81651 97567.32 46.99 0.02 -0.91 -0.40 1.31 2.41 -0.56
81807 97568.14 47.00 0.02 -0.91 -0.40 1.28 2.17 -0.58
81963 97565.18 46.99 0.02 -0.91 -0.40 1.58 2.50 -0.41
82119 97569.00 47.00 0.02 -0.91 -0.41 2.19 -1.77 -1.78
82276 97566.49 47.00 -0.08 -4.00 -1.97 13.36 39.07 12.38
82432 97556.23 47.00 -0.36 -4.00 -4.00 52.26 64.00 57.82
82589 97512.66 47.00 -0.16 -4.00 -3.04 -0.77 53.65 50.10
82744 97400.31 47.00 -0.05 -4.00 -2.11 -8.75 64.00 20.08
82901 97309.97 46.99 0.02 -3.82 -1.89 14.63 64.00 35.06
83057 97219.73 46.98 0.06 -3.93 -1.73 4.14 64.00 34.19
83214 97061.95 46.96 -0.03 -3.58 -1.70 -21.06 64.00 62.32
83371 96973.78 46.95 -0.01 -3.56 -1.62 22.73 64.00 58.91
83527 96854.53 46.94 0.30 0.15 0.12 9.42 64.00 26.24
83683 96746.35 46.93 0.26 0.75 0.27 -6.04 64.00 34.12
83839 96688.45 46.92 0.16 0.67 0.31 14.06 63.07 50.66
83995 96630.41 46.91 0.08 0.59 0.30 -2.23 64.00 27.71
84153 96550.63 46.90 0.24 0.48 0.30 8.75 64.00 33.94
84308 96494.22 46.89 0.11 0.47 0.21 -5.74 64.00 40.81
84465 96449.91 46.89 0.15 0.37 0.25 13.04 64.00 50.68
84621 96370.66 46.89 0.11 0.38 0.15 -13.67 64.00 20.85
84776 96328.81 46.89 0.17 0.32 0.17 8.22 50.73 36.19
84933 96283.88 46.89 0.13 0.30 0.14 -14.08 64.00 20.66
85090 96248.02 46.89 0.09 0.26 0.14 9.33 46.26 27.81
85246 96188.19 46.89 0.16 0.22 0.09 -6.27 53.79 10.62
